key,ko,en
DOGESOUNDS_RULE_2,"경연은 365일 항시 가동됩니다. 경연은 총 3가지 단계(후보 접수 중, 투표 중, 휴식)로 구성되며, 일정한 시간 간격으로 상태가 전환되며 진행됩니다. 후보 접수는 1일(약 86,400 블록), 투표는 1일(약 86,400 블록), 휴식은 12일(약 1,036,800 블록)으로 2주를 주기로 한 사이클을 돌게 됩니다.","The contest is open 365 days a year. The contest consists of a total of three stages (Receving nominations, voting, rest), and the status changes at regular time intervals. Receving nominations is for 1 day (about 86,400 blocks). Voting is for 1 day (about 86,400 blocks), and Resting for 12 days (about 1,036,800 blocks)."
DOGESOUNDS_RULE_3,우승자의 도지사운드는 NFT화되어 우승자에게 전달됩니다. 아래 링크를 통해 기존 우승작들의 NFT를 확인해보시기 바랍니다!,The winner's doge sound is NFTized and delivered to the winner. Please check the NFT of the previous winners through the link below!
DOGESOUNDS_OPENSEA_LINK,우승작 NFT 보기,See the NFT of winners
DOGESOUNDS_WINNERS_TITLE,도지사운드 역대 우승작,DOGESOUNDS_WINNERS_TITLE
,Doge Sound's Winner History
DOGESOUNDS_STATUS_TITLE,도지사운드 경연 현황판,Doge Sound Contest Status Board
DOGESOUNDS_HOLIDAY_PERIOD,쉬는 중,Resting
DOGESOUNDS_REGISTER_CANDIDATE_PERIOD,도지사운드 후보 접수 중,Receiving Candidates
DOGESOUNDS_VOTE_PERIOD,투표 중,Voting
DOGESOUNDS_HOLIDAY_DESCRIPTION,제 {round}회 경연 투표가 종료되었습니다.,Voting for {round}th contest has ended.
DOGESOUNDS_HOLIDAY_DESCRIPTION_2,- 채택된 도지사운드는 웹사이트 메인에 게시되었습니다.,- The adopted Doge Sound is posted on the main website of the website.
DOGESOUNDS_REGISTER_CANDIDATE_DESCRIPTION,제 {round}회 경연 후보를 접수 중입니다.,Receiving nominations for the {round}th contest.
DOGESOUNDS_VOTE_DESCRIPTION,제 {round}회 경연 투표가 진행 중 입니다.,Voting for {round} contest is in progress.
DOGESOUNDS_TIMER,다음 단계까지 {block} 블록 남음.,{block} blocks left by next step.
DOGESOUNDS_VOTE_COUNT,득표 수,Number of votes
DOGESOUNDS_CANDIDATES_TITLE,진행중인 투표 도지사운드 후보들,Doge Sound candidates
DOGESOUNDS_WALLET_ADDRESS,지갑 주소,Wallet Address
DOGESOUNDS_OWNED_MATES_COUNT,보유 중인 메이트 수 : {count}개,Number of MATEs in possession: {count}
DOGESOUNDS_REGISTABLE_MATES_COUNT,사용할 수 있는 메이트 수 : {count}개 (>= {candidateCount}개일 경우 사용 가능),Number of available MATEs: {count} (Available when >= {candidateCount})
DOGESOUNDS_VOTABLE_MATES_COUNT,활용 가능 메이트 수 : {count}개,Number of available MATEs: {count} (Available when >= {candidateCount})
DOGESOUNDS_VOTE_WARNING,* 안심하세요! 투표 참여는 당신의 소유권에 전혀 영향을 주지 않습니다.,* Rest assured! Participation in voting has no effect on your ownership.
DOGESOUNDS_CANDIDATE_INPUT,도지사운드 후보 입력,Doge Sound Candidate Input
DOGESOUNDS_SELECTED_MATES_COUNT,선택된 메이트 개수 : {count}개,Number of selected MATEs: {count}
DOGESOUNDS_MAX_SELECT_BUTTON,최대로 선택하기,Maximum Selection (Up to 50 selections at a time)
DOGESOUNDS_MAX_SELECT_DESCRIPTION,"투표에 반영할 메이트는 한번에 최대 50개까지 선택이 가능하며, 투표 후 다시 남은 메이트들로 투표가 가능합니다.","투표에 반영할 메이트는 한 번에 최대 50명까지 선택할 수 있으며, 투표 후 남은 메이트와 함께 투표할 수 있습니다."
DOGESOUNDS_DESELECT_BUTTON,전체 선택 해제,Deselect All
DOGESOUNDS_REGISTER_SUBMIT,제출하기,SUBMIT
DOGESOUNDS_VOTE_SUBMIT,투표하기,VOTE
DOGESOUNDS_WINNER_MENT,축하드립니다! 당신의 도지사운드가 제 {round}회 도지사운드에서 우승을 거머쥐었습니다!,Congratulations! Your Doge Sound won in {round} th Doge sound contest !
DOGESOUNDS_WINNER_NFT_MINT_BUTTON,도지사운드 우승자 NFT 발행받기,Mint Doge Sound Winner NFT
DOGESOUNDS_NO_MATE_SELECTED_ERROR,선택된 메이트가 없습니다. 메이트를 선택해주시기 바랍니다.,No mates selected. Please choose a mate.
DOGESOUNDS_NEED_MORE_MATES_ERROR,{candidateCount}개 이상의 메이트가 필요합니다. 메이트를 선택해주시기 바랍니다.,Requires at least {candidateCount} MATEs. Please choose a mate.
TERMS_SECTION_1_TITLE,이용약관,TERMS AND CONDITIONS
TERMS_SECTION_1,"DSC MATES은 클레이튼 네트워크에서 실행되는 디지털 아트워크(NFT) 모음입니다. 이 웹사이트는 참가자들이 디지털 수집품을 교환/이용할 수 있는 인터페이스일 뿐입니다. 사용자는 자신의 개인 클레이튼 지갑의 안전과 관리에 대해 전적으로 책임이 있으며 승인 전에 이 웹사이트에서 생성된 모든 거래 및 계약을 검증합니다. 또한 DSC MATES 스마트 계약은 클레이튼 네트워크에서 실행되기 때문에 트랜잭션을 취소 또는 복원할 수 없습니다.\n\n이 웹사이트 및 연결된 서비스는 어떠한 종류의 보증 없이 ""있는 그대로"" 및 ""사용 가능한 상태로"" 제공됩니다. 이 웹사이트를 사용함으로써 귀하는 dsc mates 디지털 수집품과 관련된 모든 거래에 대해 단독 책임을 지게 됩니다.","DSC MATES is a collection of digital artwork (NFT) running on the Klaytn network. This website is merely an interface through which participants can exchange/use digital collectibles. Users are solely responsible for the safety and management of their personal Klaytn wallet and verify all transactions and contracts created on this website prior to approval. In addition, because the DSC MATES smart contract runs on the Klaytn network, transactions cannot be canceled or restored.\n\nThis website and linked services are provided ""as is"" and ""as available"" without warranty of any kind. . By using this website, you are solely responsible for all transactions related to the dsc mates digital collectibles."
TERMS_SECTION_2_TITLE,소유권 및 저작권,Ownership
TERMS_SECTION_2,"첫째, (소유권) 당신은 NFT를 소유하고 있습니다. 각 DSC MATE는 클레이튼 블록체인의 NFT입니다. NFT를 구매하면 기본 DSC MATE, Art를 완전히 소유하게 됩니다. NFT의 소유권은 전적으로 스마트 계약과 클레이튼 네트워크에 의해 중재됩니다. 어떤 시점에서도 DSC MATE의 소유권을 압류, 동결 또는 수정할 수 없습니다.","First, (ownership) you own the NFT. Each DSC MATE is an NFT on the Klaytn blockchain. When you purchase NFT, you fully own the base DSC MATE, Art. Ownership of the NFT is entirely mediated by smart contracts and the Klaytn Network. Ownership of DSC MATE may not be seized, frozen or modified at any time."
